method_id,model,chain,seed_id,seed_value,seed_group,internal_patients,external_patients,internal_auc,external_auc,internal_pc1_shift_sd,external_pc1_shift_sd,pc1_variance_ratio,pc2_variance_ratio,pc1_sign_flipped
sceptr_entmax15,Entmax-1.5,alpha,S01,777,lucky,169,109,0.9574401988195093,0.024733637747336393,1.9070612269144747,-1.3026495372209892,0.7734893715065968,0.0352442469859617,True
sceptr_entmax15,Entmax-1.5,alpha,S02,2232016200,lucky,169,109,0.9597701149425287,0.07686453576864535,1.8679830943007838,-1.1856132843741787,0.6392377206566102,0.0619141695841383,True
sceptr_entmax15,Entmax-1.5,alpha,S03,12906138414127427065,lucky,169,109,0.91627834731283,0.42085235920852365,0.049383723942338115,-0.08304201074405139,0.5706548845017451,0.1606424400746775,True
sceptr_entmax15,Entmax-1.5,alpha,S04,6902826956892357559,moderate,169,109,0.9694004349176762,0.1251902587519026,1.8457534654699308,-1.1213268651058772,0.6100738359452923,0.0894917264611514,False
sceptr_entmax15,Entmax-1.5,alpha,S05,2712386035810402826,moderate,169,109,0.8428083255669463,0.6012176560121765,1.1781942756390482,0.296636841038644,0.5554757877471351,0.074233913113357,False
sceptr_entmax15,Entmax-1.5,alpha,S06,14320595710489364965,moderate,169,109,0.866107486797142,0.6118721461187215,0.2545934690300912,0.26028288841989866,0.681974671274451,0.0857923041625673,True
sceptr_entmax15,Entmax-1.5,alpha,S07,11327508419378867602,ordinary,169,109,0.9569742155949053,0.06811263318112636,0.5645688646444458,-0.46666560389705125,0.3927539979754292,0.2477368970862511,False
sceptr_entmax15,Entmax-1.5,alpha,S08,10762549616907469203,ordinary,169,109,0.7811432121776949,0.632420091324201,0.043060306648371745,0.010168549472047872,0.5208261815487939,0.1734080818875387,True
sceptr_entmax15,Entmax-1.5,alpha,S09,12293968614973973933,ordinary,169,109,0.8642435538987263,0.5605022831050228,0.2785982004471612,0.026052952531723794,0.6319891953027891,0.105842478820485,True
sceptr_entmax15,Entmax-1.5,beta,S01,777,lucky,169,110,0.9015222118670394,0.19444444444444442,1.4997804281052334,-0.9505282486379072,0.5663862474894097,0.1315611280013245,False
sceptr_entmax15,Entmax-1.5,beta,S02,2232016200,lucky,169,110,0.8022677850264057,0.496996996996997,0.31805316442743536,-0.12479895146463701,0.4221077888529316,0.1848058586117065,True
sceptr_entmax15,Entmax-1.5,beta,S03,12906138414127427065,lucky,169,110,0.8563218390804597,0.2916666666666667,0.08501255090253304,-0.10186843813781306,0.5986267316814086,0.130730249132684,False
sceptr_entmax15,Entmax-1.5,beta,S04,6902826956892357559,moderate,169,110,0.6559490525007766,0.6189939939939939,0.02121762513274487,-0.016359328604875004,0.4857133574757304,0.1684094110891195,True
sceptr_entmax15,Entmax-1.5,beta,S05,2712386035810402826,moderate,169,110,0.8707673190431812,0.1313813813813814,0.6677910249332892,-0.5811438552641488,0.2812983231912982,0.1943564120740923,True
sceptr_entmax15,Entmax-1.5,beta,S06,14320595710489364965,moderate,169,110,0.7927927927927928,0.41478978978978975,0.07994271517592264,-0.07885264682953752,0.3065015379097647,0.2452359722124625,False
sceptr_entmax15,Entmax-1.5,beta,S07,11327508419378867602,ordinary,169,110,0.8306927617272446,0.11111111111111109,0.47958129902407387,-0.5655741277695951,0.5247619218561935,0.2103794495426821,False
sceptr_entmax15,Entmax-1.5,beta,S08,10762549616907469203,ordinary,169,110,0.8793103448275862,0.121996996996997,0.5705691608088714,-0.4581227891617335,0.2662664248564917,0.2273795827072741,True
sceptr_entmax15,Entmax-1.5,beta,S09,12293968614973973933,ordinary,169,110,0.7825411618515067,0.49099099099099097,0.07767460175905765,0.06845092871399111,0.5876850174812556,0.1607106926680157,True
sceptr_softmax,Softmax,alpha,S01,777,lucky,169,109,0.9721963342652997,0.6168188736681887,0.49056841554378655,-0.11087844677734628,0.2015316348405282,0.1349927847142174,True
sceptr_softmax,Softmax,alpha,S02,2232016200,lucky,169,109,0.972972972972973,0.5585996955859969,0.8602624289393568,0.06162909231535241,0.2113463341414665,0.1169783533717226,True
sceptr_softmax,Softmax,alpha,S03,12906138414127427065,lucky,169,109,0.980273376825101,0.515220700152207,0.762067077129053,0.15764283176828955,0.2089942099188255,0.1367073023443197,True
sceptr_softmax,Softmax,alpha,S04,6902826956892357559,moderate,169,109,0.9735942839391115,0.4942922374429224,0.849368552119981,-0.06465439502103133,0.2267577739315319,0.1436067496541752,True
sceptr_softmax,Softmax,alpha,S05,2712386035810402826,moderate,169,109,0.9791860826343585,0.5437595129375952,0.7475116262763124,-0.00582065975323473,0.1822681817421035,0.1354906946435899,True
sceptr_softmax,Softmax,alpha,S06,14320595710489364965,moderate,169,109,0.9791860826343586,0.519406392694064,0.491948796745556,0.1911586942706637,0.2489041535155704,0.1437126305251983,True
sceptr_softmax,Softmax,alpha,S07,11327508419378867602,ordinary,169,109,0.9734389561975769,0.5802891933028919,0.8987957572179094,-0.02279956308319405,0.180694559337935,0.1629294266370995,True
