experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc_no_gate,balanced_accuracy,sensitivity,specificity,auc_hard_030,auc_delta_no_gate_minus_hard_030
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S01,777,lucky,internal_oof,169,0.7906182044113079,0.7288754271512892,0.6379310344827587,0.8198198198198198,0.7157502329916124,0.07486797141969548
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S02,2232016200,lucky,internal_oof,169,0.784094439266853,0.70712954333644,0.603448275862069,0.8108108108108109,0.7233612923268096,0.06073314694004339
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S10,8365301900047924020,lucky,internal_oof,169,0.7755514134824479,0.7030133581857719,0.5862068965517241,0.8198198198198198,0.726157191674433,0.04939422180801489
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.7752407579993786,0.7116340478409444,0.603448275862069,0.8198198198198198,0.7202547374961168,0.054986020503261845
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.7632805219012115,0.7030133581857719,0.5862068965517241,0.8198198198198198,0.7211867039453247,0.04209381795588685
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S11,2817756917657900866,moderate,internal_oof,169,0.7684063373718546,0.6985088536812675,0.5862068965517241,0.8108108108108109,0.7174588381484933,0.05094749922336128
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.7769493631562597,0.6940043491767629,0.5862068965517241,0.8018018018018018,0.7218080149114631,0.05514134824479666
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.7673190431811121,0.6940043491767629,0.5862068965517241,0.8018018018018018,0.7166821994408201,0.05063684374029198
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S12,10694063091131643398,ordinary,internal_oof,169,0.7732214973594285,0.70712954333644,0.603448275862069,0.8108108108108109,0.723205964585275,0.05001553277415349
experiment_04_alice_model_no_hard_gate,no_gate_l1_linear,No gate + L1 + Linear,alpha,S13,4496119368746308026,ordinary,internal_oof,169,0.7541161851506679,0.6985088536812675,0.5862068965517241,0.8108108108108109,0.7242932587760174,0.02982292637465056
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S01,777,lucky,internal_oof,169,0.8454488971730352,0.7899968934451693,0.7241379310344828,0.8558558558558559,0.7494563529046289,0.09599254426840631
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S02,2232016200,lucky,internal_oof,169,0.8443616029822927,0.7817645231438335,0.6896551724137931,0.8738738738738738,0.7522522522522522,0.09210935073004045
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S10,8365301900047924020,lucky,internal_oof,169,0.846380863622243,0.7903852127990059,0.7068965517241379,0.8738738738738738,0.748058403230817,0.098322460391426
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.8434296365330848,0.781376203789997,0.7068965517241379,0.8558558558558559,0.7454178316247282,0.09801180490835659
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.8454488971730352,0.7903852127990059,0.7068965517241379,0.8738738738738738,0.7443305374339857,0.10111835973904948
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S11,2817756917657900866,moderate,internal_oof,169,0.8459148803976391,0.7858807082945014,0.7068965517241379,0.8648648648648649,0.748524386455421,0.0973904939422181
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.8445169307238272,0.781376203789997,0.7068965517241379,0.8558558558558559,0.7516309412861136,0.09288598943771353
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.8462255358807083,0.7776483379931656,0.6724137931034483,0.8828828828828829,0.7489903696800247,0.09723516620068351
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S12,10694063091131643398,ordinary,internal_oof,169,0.8452935694315005,0.7858807082945014,0.7068965517241379,0.8648648648648649,0.7477477477477478,0.0975458216837527
experiment_04_alice_model_no_hard_gate,no_gate_l1_mlp,No gate + L1 + MLP,alpha,S13,4496119368746308026,ordinary,internal_oof,169,0.8451382416899658,0.7731438334886611,0.6724137931034483,0.8738738738738738,0.7516309412861136,0.09350730040385213
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S01,777,lucky,internal_oof,169,0.8679714196955575,0.7686393289841567,0.6724137931034483,0.8648648648648649,0.795278036657347,0.07269338303821049
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S02,2232016200,lucky,internal_oof,169,0.8634669151910531,0.7686393289841567,0.6724137931034483,0.8648648648648649,0.793569431500466,0.06989748369058713
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S10,8365301900047924020,lucky,internal_oof,169,0.8698353525939733,0.7731438334886611,0.6724137931034483,0.8738738738738738,0.7977632805219012,0.07207207207207211
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.8687480584032309,0.7551258154706431,0.6724137931034483,0.8378378378378378,0.7965206585896242,0.07222739981360671
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.8670394532463498,0.7727555141348246,0.6896551724137931,0.8558558558558559,0.8044423734078906,0.06259707983845919
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S11,2817756917657900866,moderate,internal_oof,169,0.8586517552034792,0.7731438334886611,0.6724137931034483,0.8738738738738738,0.7878223050636843,0.07082945013979491
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.8605156881018949,0.7382727555141348,0.6206896551724138,0.8558558558558559,0.7865796831314072,0.07393600497048769
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.8527493010251631,0.786269027648338,0.6896551724137931,0.8828828828828829,0.7881329605467536,0.06461634047840947
experiment_04_alice_model_no_hard_gate,no_gate_l2_linear,No gate + L2 + Linear,alpha,S12,10694063091131643398,ordinary,internal_oof,169,0.8589624106865485,0.7604069586828208,0.6379310344827587,0.8828828828828829,0.7848710779745263,0.07409133271202228
