experiment_id,method_id,method_label,chain,seed_id,seed_value,seed_group,split,n,auc,balanced_accuracy,sensitivity,specificity
experiment_02_seed_and_attention_normalisation,attention_classifier_factorization,Sparsemax Attention MIL: attention/classifier seed factorisation,alpha,S09:S09,12293968614973973933|12293968614973973933,ordinary,internal_oof,169,0.5899347623485555,0.5372786579683131,0.3448275862068966,0.7297297297297297
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S01,777,lucky,internal_oof,169,0.9721963342652997,0.8724759242000621,0.8620689655172413,0.8828828828828829
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S02,2232016200,lucky,internal_oof,169,0.972972972972973,0.8732525629077353,0.8275862068965517,0.918918918918919
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.980273376825101,0.8953867660764212,0.8448275862068966,0.9459459459459459
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.9735942839391115,0.8957750854302579,0.8275862068965517,0.963963963963964
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.9791860826343585,0.9253650201926065,0.9137931034482759,0.9369369369369369
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.9791860826343586,0.8953867660764212,0.8448275862068966,0.9459459459459459
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.9734389561975769,0.8691363777570673,0.8103448275862069,0.9279279279279279
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.9684684684684686,0.8732525629077353,0.8275862068965517,0.918918918918919
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.9675365020192607,0.8646318732525629,0.8103448275862069,0.918918918918919
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S01,777,lucky,internal_oof,169,0.9310344827586207,0.8703013358185772,0.7586206896551724,0.9819819819819819
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S02,2232016200,lucky,internal_oof,169,0.925753339546443,0.8560111835973905,0.7931034482758621,0.918918918918919
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S03,12906138414127427065,lucky,internal_oof,169,0.9560422491456975,0.8687480584032308,0.8275862068965517,0.9099099099099099
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S04,6902826956892357559,moderate,internal_oof,169,0.9293258776017397,0.8830382106244176,0.7931034482758621,0.972972972972973
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S05,2712386035810402826,moderate,internal_oof,169,0.9405094749922336,0.8953867660764212,0.8448275862068966,0.9459459459459459
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S06,14320595710489364965,moderate,internal_oof,169,0.9307238272755515,0.8826498912705809,0.8103448275862069,0.954954954954955
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.9251320285803044,0.8571761416589003,0.7413793103448276,0.972972972972973
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.9346070208139174,0.8695246971109041,0.7931034482758621,0.9459459459459459
experiment_02_seed_and_attention_normalisation,sceptr_softmax,SCEPTR + Softmax Attention MIL,beta,S09,12293968614973973933,ordinary,internal_oof,169,0.9521590556073315,0.8720876048462256,0.8793103448275862,0.8648648648648649
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S01,777,lucky,internal_oof,169,0.9574401988195093,0.9655172413793103,0.9310344827586207,1.0
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S02,2232016200,lucky,internal_oof,169,0.9597701149425287,0.9568965517241379,0.9137931034482759,1.0
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.91627834731283,0.833488661074868,0.7931034482758621,0.8738738738738738
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.9694004349176762,0.9523920472196334,0.9137931034482759,0.990990990990991
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.8428083255669463,0.797452625038832,0.7931034482758621,0.8018018018018018
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.866107486797142,0.7903852127990059,0.7068965517241379,0.8738738738738738
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.9569742155949053,0.9482758620689655,0.896551724137931,1.0
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.7811432121776949,0.7198664181422803,0.6379310344827587,0.8018018018018018
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.8642435538987263,0.76825100963032,0.6896551724137931,0.8468468468468469
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S01,777,lucky,internal_oof,169,0.9015222118670394,0.8732525629077353,0.8275862068965517,0.918918918918919
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S02,2232016200,lucky,internal_oof,169,0.8022677850264057,0.7465051258154707,0.6551724137931034,0.8378378378378378
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S03,12906138414127427065,lucky,internal_oof,169,0.8563218390804597,0.7899968934451693,0.7241379310344828,0.8558558558558559
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S04,6902826956892357559,moderate,internal_oof,169,0.6559490525007766,0.6189810500155328,0.5172413793103449,0.7207207207207207
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S05,2712386035810402826,moderate,internal_oof,169,0.8707673190431812,0.797452625038832,0.7931034482758621,0.8018018018018018
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S06,14320595710489364965,moderate,internal_oof,169,0.7927927927927928,0.7498446722584653,0.7068965517241379,0.7927927927927928
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.8306927617272446,0.7735321528424977,0.6551724137931034,0.8918918918918919
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.8793103448275862,0.8240913327120223,0.8103448275862069,0.8378378378378378
experiment_02_seed_and_attention_normalisation,sceptr_entmax15,SCEPTR + Entmax-1.5 Attention MIL,beta,S09,12293968614973973933,ordinary,internal_oof,169,0.7825411618515067,0.719089779434607,0.6724137931034483,0.7657657657657657
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S01,777,lucky,internal_oof,169,0.9453246349798075,0.9568965517241379,0.9137931034482759,1.0
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S02,2232016200,lucky,internal_oof,169,0.9521590556073316,0.9610127368748058,0.9310344827586207,0.990990990990991
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S03,12906138414127427065,lucky,internal_oof,169,0.9555762659210935,0.9523920472196334,0.9137931034482759,0.990990990990991
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S04,6902826956892357559,moderate,internal_oof,169,0.8709226467847156,0.7937247592420006,0.7586206896551724,0.8288288288288288
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S05,2712386035810402826,moderate,internal_oof,169,0.8361292326809568,0.7465051258154707,0.6551724137931034,0.8378378378378378
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S06,14320595710489364965,moderate,internal_oof,169,0.7764833799316558,0.6940043491767629,0.5862068965517241,0.8018018018018018
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S07,11327508419378867602,ordinary,internal_oof,169,0.7595526561043803,0.6771512892202547,0.5344827586206896,0.8198198198198198
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S08,10762549616907469203,ordinary,internal_oof,169,0.6225535880708295,0.5972351662006834,0.4827586206896552,0.7117117117117117
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,alpha,S09,12293968614973973933,ordinary,internal_oof,169,0.587138863000932,0.5372786579683131,0.3448275862068966,0.7297297297297297
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S01,777,lucky,internal_oof,169,0.7693383038210625,0.6613078595837216,0.6379310344827587,0.6846846846846847
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S02,2232016200,lucky,internal_oof,169,0.7378067722895308,0.6546287666977322,0.5344827586206896,0.7747747747747747
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S03,12906138414127427065,lucky,internal_oof,169,0.7173035104069586,0.6489593041317179,0.5862068965517241,0.7117117117117117
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S04,6902826956892357559,moderate,internal_oof,169,0.5958372165268717,0.565703634669152,0.4827586206896552,0.6486486486486487
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S05,2712386035810402826,moderate,internal_oof,169,0.6604535570052812,0.6452314383348866,0.5517241379310345,0.7387387387387387
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S06,14320595710489364965,moderate,internal_oof,169,0.6908977943460703,0.6669773221497359,0.5862068965517241,0.7477477477477478
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S07,11327508419378867602,ordinary,internal_oof,169,0.6259707983845915,0.5623640882261571,0.43103448275862066,0.6936936936936937
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S08,10762549616907469203,ordinary,internal_oof,169,0.805995650823237,0.712022367194781,0.5862068965517241,0.8378378378378378
experiment_02_seed_and_attention_normalisation,sceptr_sparsemax,SCEPTR + Sparsemax Attention MIL,beta,S09,12293968614973973933,ordinary,internal_oof,169,0.6118359739049394,0.5964585274930103,0.5172413793103449,0.6756756756756757
