selection,chain,label,subjects,active_tcr_fraction_median,active_tcr_fraction_q1,active_tcr_fraction_q3,zero_hit_subjects,zero_hit_fraction
hard_gate_0.30,alpha,0,111,0.0060521697028384,0.0031067677577953498,0.0142277879281861,2,0.018018018018018018
hard_gate_0.30,alpha,1,58,0.014961654032150249,0.004709903401066775,0.03145322284966825,6,0.10344827586206896
hard_gate_0.30,beta,0,111,0.0014743946790734,0.00068391798861365,0.00393352709371845,8,0.07207207207207207
hard_gate_0.30,beta,1,58,0.00916485645818885,0.00189200483366445,0.02205834426856845,4,0.06896551724137931
no_hard_gate,alpha,0,111,0.1221622776561081,0.0876705372336536,0.1754775224912692,0,0.0
no_hard_gate,alpha,1,58,0.1158919271419849,0.06517950261011382,0.18422324925438288,0,0.0
no_hard_gate,beta,0,111,0.0254470807981802,0.017888197909837998,0.0386302219406051,0,0.0
no_hard_gate,beta,1,58,0.05194534827969905,0.028650511630031152,0.07554282877387117,0,0.0
